dtype,batch_size,seq_len,actual_tokens,latency_ms,tokens_per_sec,max_memory_allocated_gb
bf16,1,128,130,20.1687,6445.63,1.2277
bf16,2,128,260,19.6004,13265.05,1.233
bf16,4,128,520,25.004,20796.7,1.2463
bf16,8,128,1040,49.2293,21125.62,1.2702
bf16,16,128,2080,98.0992,21203.03,1.3198
bf16,1,256,258,19.9639,12923.32,1.233
bf16,2,256,516,25.4822,20249.4,1.2462
bf16,4,256,1032,49.1546,20995.0,1.2699
bf16,8,256,2064,97.898,21083.17,1.3191
bf16,16,256,4128,226.0347,18262.68,1.4176
bf16,1,512,514,25.2155,20384.3,1.2462
bf16,2,512,1028,49.0639,20952.25,1.2698
bf16,4,512,2056,99.2251,20720.57,1.3188
bf16,8,512,4112,227.7801,18052.5,1.4169
bf16,16,512,8224,514.731,15977.28,1.613
bf16,1,1022,1024,46.4604,22040.27,1.2697
bf16,2,1022,2048,101.3719,20202.84,1.3185
bf16,4,1022,4096,227.6557,17992.08,1.4162
bf16,8,1022,8192,518.636,15795.28,1.6116
bf16,16,1022,16384,1066.4642,15362.92,2.0023
