impl,batch_size,seq_len,latency_ms,speedup_vs_pytorch,max_abs_err_vs_ref
pytorch,8,128,0.09744,1.0,0.00159
einsum,8,128,0.1321,0.738,0.00159
triton,8,128,0.07578,1.286,2.98e-08
pytorch,32,128,0.10035,1.0,0.001963
einsum,32,128,0.13568,0.74,0.001963
triton,32,128,0.0727,1.38,2.98e-08
pytorch,8,512,0.09933,1.0,0.001382
einsum,8,512,0.13517,0.735,0.001382
triton,8,512,0.07579,1.311,7.451e-09
pytorch,32,512,0.45774,1.0,0.001382
einsum,32,512,0.13824,3.311,0.001382
triton,32,512,0.08499,5.386,2.98e-08
pytorch,8,1022,0.11571,1.0,0.0006463
einsum,8,1022,0.13926,0.831,0.0006463
triton,8,1022,0.07578,1.527,1.49e-08
pytorch,32,1022,1.05062,1.0,0.001159
einsum,32,1022,0.43371,2.422,0.001159
triton,32,1022,0.38907,2.7,2.235e-08
