model_name,gpu_name,dtype,mode,dynamic,batch_size,seq_len,actual_tokens,cold_start_ms,steady_latency_ms,steady_mean_ms,steady_std_ms,tokens_per_sec,sequences_per_sec,speedup_vs_eager,max_memory_allocated_gb,warmup,iters,oom,notes
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,eager,False,1,128,130,22.36,20.6197,20.7652,0.4521,6304.64,48.497,,1.2277,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,eager,False,8,128,1040,39.09,46.5454,46.615,0.2205,22343.77,171.875,,1.2702,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,eager,False,1,512,514,26.79,25.773,25.795,0.1201,19943.35,38.8,,1.2462,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,eager,False,8,512,4112,220.4,225.7229,225.9207,1.4743,18217.03,35.442,,1.4169,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,default,False,1,128,130,28087.32,9.6062,9.6195,0.0616,13532.89,104.099,2.146,1.2829,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,default,False,8,128,1040,28671.46,34.0731,34.0651,0.2379,30522.62,234.789,1.366,1.2956,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,default,False,1,512,514,28422.87,19.8313,19.919,0.1478,25918.63,50.425,1.3,1.291,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,default,False,8,512,4112,29411.97,138.6865,138.7996,2.1983,29649.61,57.684,1.628,1.3873,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,reduce-overhead,False,1,128,130,28472.09,9.3655,9.2599,0.2157,13880.73,106.775,2.202,1.2238,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,reduce-overhead,False,8,128,1040,28325.3,33.7848,33.8344,0.2507,30783.04,236.793,1.378,1.2953,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,reduce-overhead,False,1,512,514,27937.14,19.8815,19.98,0.1871,25853.22,50.298,1.296,1.282,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,reduce-overhead,False,8,512,4112,27799.28,137.7111,138.318,2.2527,29859.61,58.093,1.639,1.3833,3,10,False,
