gpu_name,dtype,impl,batch_size,seq_len,hidden_size,latency_ms,latency_mean_ms,latency_std_ms,speedup_vs_pytorch,max_abs_err_vs_ref,max_memory_allocated_gb,warmup,iters,oom,notes
NVIDIA L4,bf16,pytorch,8,128,1280,0.09744,0.10136,0.00841,1.0,0.00159,0.005,5,50,False,
NVIDIA L4,bf16,einsum,8,128,1280,0.1321,0.1395,0.01599,0.738,0.00159,0.0106,5,50,False,
NVIDIA L4,bf16,compiled,8,128,1280,0.12448,0.30627,0.70492,0.783,0.0009745,0.0106,5,50,False,
NVIDIA L4,bf16,triton,8,128,1280,0.07578,0.08241,0.02389,1.286,2.98e-08,0.0106,5,50,False,
NVIDIA L4,bf16,pytorch,32,128,1280,0.10035,0.10389,0.01058,1.0,0.001963,0.028,5,50,False,
NVIDIA L4,bf16,einsum,32,128,1280,0.13568,0.13919,0.00889,0.74,0.001963,0.0185,5,50,False,
NVIDIA L4,bf16,compiled,32,128,1280,0.12902,0.13237,0.00904,0.778,0.0009745,0.065,5,50,False,
NVIDIA L4,bf16,triton,32,128,1280,0.0727,0.07538,0.0075,1.38,2.98e-08,0.0185,5,50,False,
NVIDIA L4,bf16,pytorch,8,512,1280,0.09933,0.10116,0.00607,1.0,0.001382,0.0276,5,50,False,
NVIDIA L4,bf16,einsum,8,512,1280,0.13517,0.14419,0.02074,0.735,0.001382,0.0179,5,50,False,
NVIDIA L4,bf16,compiled,8,512,1280,0.13824,0.14057,0.00626,0.719,0.001123,0.0647,5,50,False,
NVIDIA L4,bf16,triton,8,512,1280,0.07579,0.07828,0.00692,1.311,7.451e-09,0.0179,5,50,False,
NVIDIA L4,bf16,pytorch,32,512,1280,0.45774,0.45959,0.00554,1.0,0.001382,0.0867,5,50,False,
NVIDIA L4,bf16,einsum,32,512,1280,0.13824,0.1445,0.01589,3.311,0.001382,0.0478,5,50,False,
NVIDIA L4,bf16,compiled,32,512,1280,0.14949,0.15554,0.01406,3.062,0.001123,0.0478,5,50,False,
NVIDIA L4,bf16,triton,32,512,1280,0.08499,0.08588,0.00272,5.386,2.98e-08,0.0478,5,50,False,
NVIDIA L4,bf16,pytorch,8,1022,1280,0.11571,0.1189,0.00728,1.0,0.0006463,0.092,5,50,False,
NVIDIA L4,bf16,einsum,8,1022,1280,0.13926,0.14353,0.00885,0.831,0.0006463,0.0276,5,50,False,
NVIDIA L4,bf16,compiled,8,1022,1280,0.12493,0.12797,0.00913,0.926,0.0006046,0.0276,5,50,False,
NVIDIA L4,bf16,triton,8,1022,1280,0.07578,0.07908,0.00769,1.527,1.49e-08,0.0276,5,50,False,
NVIDIA L4,bf16,pytorch,32,1022,1280,1.05062,1.05115,0.00642,1.0,0.001159,0.2232,5,50,False,
NVIDIA L4,bf16,einsum,32,1022,1280,0.43371,0.43639,0.00898,2.422,0.001159,0.0868,5,50,False,
NVIDIA L4,bf16,compiled,32,1022,1280,0.48026,0.48358,0.01007,2.188,0.0006826,0.0868,5,50,False,
NVIDIA L4,bf16,triton,32,1022,1280,0.38907,0.39015,0.00596,2.7,2.235e-08,0.0868,5,50,False,
